objectid,title,origin,type_of_manuscript,section_of_book,Foliation,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
lndl030,Illustration of the Annunciation,French,Book of Hours,Hours of the Virgin,21r,15th century,Annunciation with Mary and Gabriel,Book of Hours; French; Annunciation: Mary; Gabriel; full page,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/xannunciation_fr.png,/objects/small/xannunciation_fr_sm.jpg,/objects/thumbs/xannunciation_fr_th.jpg,,
lndl031,Illustration of King David and Bathsheba,French,Book of Hours,Penitential Psalms,69r,15th century,King David watching Bathsheba bathing,Book of Hours; David; Bathsheba; Penitential Psalms; full page,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/xannunciation_fr.png,/objects/small/xbathsheba_fr_sm.jpg,/objects/thumbs/xbathsheba_fr_th.jpg,,
lndl032,Second half of supplemental prayer following chalice with open wound,French,Book of Hours,Hours of the Virgin; Supplemental prayer,62r,15th century,Supplemental prayer complementing chalice with open wound image,Book of Hours; chalice; French; wound; prayer; supplemental,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/xannunciation_fr.png,/objects/small/xchalice2_fr_sm.jpg,/objects/thumbs/xchalice2_fr_th.jpg,,
lndl033,Illustration of chalice with open wound,French,Book of Hours,Hours of the Virgin; Supplemental prayer,61v,15th century,"Chalice with open, bleeding wound accompanied by supplemental prayer added at a later date",Book of Hours; chalice; French; wound; prayer; supplemental,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/xannunciation_fr.png,/objects/small/xchalice_fr_sm.jpg,/objects/thumbs/xchalice_fr_th.jpg,,
lndl034,Illustration of Crucifixion,French,Book of Hours,Hours of the Cross,63r,15th century,Crucifixion featuring John and Mary,Book of Hours; Crucifixion; Mary; Jesus; John; French; full page,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/xannunciation_fr.png,/objects/small/xcrucifixion_fr_sm.jpg,/objects/thumbs/xcrucifixion_fr_th.jpg,,
lndl035,Illustration of Crucifixion,Italian,Book of Hours,Hours of the Cross,230v,15th century,Crucifixion featuring John and Mary,Book of Hours; Crucifixion; Mary; Jesus; John; Italian; full page,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/xannunciation_fr.png,/objects/small/xcrucifixion_ital_sm.jpg,/objects/thumbs/xcrucifixion_ital_th.jpg,,
lndl036,Inscription in French manuscript,French,Book of Hours,flyleaf,N/A,15th century,"Inscription featuring the name ""Marion, daughter of Simon""",Book of Hours; French; Marion; inscription; flyleaf,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,French,,,image,/objects/xannunciation_fr.png,/objects/small/xinscription_fr_sm.jpg,/objects/thumbs/xinscription_fr_th.jpg,,
lndl037,Illustration of Veronica holding up a cloth with Christ's face with the instruments of the Passion below,Italian,Book of Hours,Little Hours of the Holy Cross,231r,15th century,Mary holding Veronica's cloth showing the face of Christ with Crown of Thorns; instuments of the Passion below,Book of Hours; Mary; Veronica; Jesus; Passion; full page; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/xannunciation_fr.png,/objects/small/xjesuscloth_ital_sm.jpg,/objects/thumbs/xjesuscloth_ital_th.jpg,,
lndl038,Illustration of Job on his dung heap,French,Book of Hours,Seven Penitential Psalms,85v,15th century,Job conversing with a man while sitting on his dung heap,Book of Hours; full page; Job; dung heap; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/xannunciation_fr.png,/objects/small/xjob_fr_sm.jpg,/objects/thumbs/xjob_fr_th.jpg,,
lndl039,John the Evangelist writing on the island of Patmos with an eagle,French,Book of Hours,Gospel Readings,13r,15th century,John the Evangelist writing on the island of Patmos accompanied by an eagle,Book of Hours; John; eagle; writing; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/xannunciation_fr.png,/objects/small/xjohnevan_fr_sm.jpg,/objects/thumbs/xjohnevan_fr_th.jpg,,
lndl040,Illustration of Pentecost,French,Book of Hours,Hours of the Holy Spirit,,15th century,Mary and the apostles kneeling and receiving tongues of fire at Pentecost,Book of Hours; Mary; apostles; praying; Pentecost; Holy Spirit; full page; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/xannunciation_fr.png,/objects/small/xpentecost_fr_sm.jpg,/objects/thumbs/xpentecost_fr_th.jpg,,
lndl041,Illustration of Simeon and Anna at the Temple,Italian,Book of Hours,Little Hours of the Holy Cross,237v,15th century,Simeon and Anna at the Temple,Book of Hours; Simeon; Anna; Temple; full page; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/xannunciation_fr.png,/objects/small/xsimeonanna_ital_sm.jpg,/objects/thumbs/xsimeonanna_ital_th.jpg,,
lndl042,German stamp,Italian,Book of Hours,flyleaf,N/A,15th century,Stamp featuring an eagle sitting on top of a globe with German text,Book of Hours; stamp; Italian,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,German,,,image,/objects/xannunciation_fr.png,/objects/small/xstamp_ital_sm.jpg,/objects/thumbs/xstamp_ital_th.jpg,,
lndl043,Illustration of the Trinity,French,Book of Hours,Prayers,124v,15th century,"God the Father, Jesus, and the Holy Spirit gathered around a throne in Heaven",Book of Hours; Jesus; God the Father; Holy Spirit; Trinity; French,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/xannunciation_fr.png,/objects/small/xtrinity_fr_sm.jpg,/objects/thumbs/xtrinity_fr_th.jpg,,
lndl044,Historiated initial of the Virgin praying,Italian,Book of Hours,Gradual Psalms,238r,15th century,The Virgin praying,Book of Hours; Mary; praying; Italian; historiated initial,"Monte Cassino, Italy",41.49178248,13.81587839,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin,,,image,/objects/xannunciation_fr.png,/objects/small/xvirgin_praying_ital_sm.jpg,/objects/thumbs/xvirgin_praying_ital_th.jpg,,
lndl045,Illustration of the Virgin praying,French,Book of Hours,Prayers,120v,15th century,The Virgin praying,Book of Hours; full page; French; Mary; praying,Flanders,50.87076259,3.049374844,Loyola Notre Dame Library,,Image; Stillimage,image/png,Latin; French,,,image,/objects/xannunciation_fr.png,/objects/small/xvirginpg_fr_sm.jpg,/objects/thumbs/xvirginpg_fr_th.jpg,,
